text,label,category
Your order #342955 from Blinkit has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Hey, let's catch up this weekend. Are you free on Saturday?",0,chat
"Your HDFC Account XX6546 is debited by INR 45.00 at Flipkart. Avl Bal: INR 20,831.00. Report unauthorized: 1800112211.",0,bank_normal
"Your Kotak Account XX5092 is debited by INR 45.00 at Amazon. Avl Bal: INR 82,870.00. Report unauthorized: 1800112211.",0,bank_normal
"Dear User, your mobile number has won a brand new Tata Safari car in Diwali Mega Lucky Contest. Call lottery officer at 9765432100 to claim prize.",1,lottery
858685 is your secret one time password (OTP) for logging into WhatsApp. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
389884 is your secret one time password (OTP) for logging into Swiggy. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
FedEx: Package delivery paused due to incomplete home address. Pay ₹10 redelivery fee at http://fedex-reschedule.top,1,delivery
737999 is your secret one time password (OTP) for logging into Swiggy. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Your Axis Bank Account XX4695 is debited by INR 45.00 at Myntra. Avl Bal: INR 23,932.00. Report unauthorized: 1800112211.",0,bank_normal
Your order #181972 from Zepto has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Your order #889620 from Ola has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 988795584 confirmed. Coach B2, Berth 26. Please carry a valid original photo ID during travel.",0,travel
"IRCTC: PNR 840649054 confirmed. Coach B1, Berth 9. Please carry a valid original photo ID during travel.",0,travel
"Your ICICI Account XX1324 is debited by INR 150.00 at Zomato. Avl Bal: INR 50,382.00. Report unauthorized: 1800112211.",0,bank_normal
"Dear consumer, power supply will be cut off tonight at 10:00 PM for non-payment of electricity bill. Call electricity desk 9901501834 immediately.",1,utility
898028 is your secret one time password (OTP) for logging into Zomato. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Work from home daily! Earn ₹8,500 by rating movies and products online. No fee. Contact manager on WhatsApp 9454840174.",1,fake_job
Urgent notice from CBI Investigation: Legal case registered under your ID. Call investigation officer 9493261002 within 2 hours to avoid arrest.,1,police_threat
Alert from Kotak: Your account 5555 is restricted. Update your KYC before 9 PM tonight at http://kotak-netbank-login.info.,1,bank_kyc
PhonePe: Pending refund of ₹25 Lakhs failed. Complete OTP verification at http://phonepe-refund.me to credit money.,1,refund
Alert from SBI: Your account 8468 is restricted. Update your KYC within 24 hours at http://sbi-secure-verify.me.,1,bank_kyc
"Your Kotak Account XX7634 is debited by INR 1,250.00 at Myntra. Avl Bal: INR 11,021.00. Report unauthorized: 1800112211.",0,bank_normal
See you in 15 minutes at the office cafeteria.,0,chat
"IRCTC: PNR 834495166 confirmed. Coach S4, Berth 61. Please carry a valid original photo ID during travel.",0,travel
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9487994292 immediately.",1,utility
"Work from home daily! Earn ₹2,500 by rating movies and products online. No fee. Contact manager on WhatsApp 9825523310.",1,fake_job
Your order #331946 from Swiggy has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Happy anniversary to you both! Have an amazing celebration.,0,chat
Alert from Kotak: Your account 3849 is restricted. Update your KYC before 9 PM tonight at http://kotak-netbank-login.site.,1,bank_kyc
144439 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Amazon is hiring Part-Time / Full-Time product reviewers! Work 1-2 hours from home, earn Rs 50,000/month. WhatsApp your resume to 9876501234 now.",1,fake_job
839782 is your secret one time password (OTP) for logging into Zomato. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 753470206 confirmed. Coach B1, Berth 13. Please carry a valid original photo ID during travel.",0,travel
Your order #695597 from Swiggy has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Congratulations! Your mobile number won ₹50,00,000 in nationwide lucky draw! Call manager at 9962312208 to claim your prize.",1,lottery
Congratulations! Your mobile number won Tata Harrier SUV in nationwide lucky draw! Call manager at 9284058331 to claim your prize.,1,lottery
Your order #618420 from Myntra has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9982717562 to claim your prize.",1,lottery
"Google Pay: Pending refund of Rs 2,50,000 failed. Complete OTP verification at http://googlepay-refund.site to credit money.",1,refund
641889 is your secret one time password (OTP) for logging into WhatsApp. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Alert from Bank of Baroda: Your account 2827 is restricted. Update your KYC within 24 hours at http://bankofbaroda-kyc-update.pw.,1,bank_kyc
BlueDart: Package delivery paused due to incomplete home address. Pay ₹10 redelivery fee at http://bluedart-reschedule.info,1,delivery
354200 is your secret one time password (OTP) for logging into Zomato. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Urgent notice from Telecom Authority: Legal case registered under your ID. Call investigation officer 9987468512 within 2 hours to avoid arrest.,1,police_threat
Congratulations! Your mobile number won Tata Harrier SUV in nationwide lucky draw! Call manager at 9624518203 to claim your prize.,1,lottery
Congratulations! Your mobile number won Tata Harrier SUV in nationwide lucky draw! Call manager at 9859302578 to claim your prize.,1,lottery
"Dear consumer, power supply will be cut off tonight at midnight for non-payment of electricity bill. Call electricity desk 9718013926 immediately.",1,utility
"Dear consumer, power supply will be cut off tonight at 10:00 PM for non-payment of electricity bill. Call electricity desk 9767265569 immediately.",1,utility
Have you booked the movie tickets for tonight?,0,chat
Your order #248182 from Amazon has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Your order #258964 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Work from home daily! Earn ₹4,000 by rating movies and products online. No fee. Contact manager on WhatsApp 9454146500.",1,fake_job
Your order #238691 from Flipkart has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Work from home daily! Earn ₹8,500 by rating movies and products online. No fee. Contact manager on WhatsApp 9232954101.",1,fake_job
"Your SBI Account XX3846 is debited by INR 2,499.00 at Swiggy. Avl Bal: INR 60,989.00. Report unauthorized: 1800112211.",0,bank_normal
Did you check out that new coffee shop down the street?,0,chat
India Post: Package delivery paused due to incomplete home address. Pay Rs 49 redelivery fee at http://indiapost-reschedule.xyz,1,delivery
Paytm: Pending refund of ₹25 Lakhs failed. Complete OTP verification at http://paytm-refund.top to credit money.,1,refund
Let me know once you reach home safely.,0,chat
"Your Canara Bank Account XX5573 is debited by INR 1,250.00 at Zomato. Avl Bal: INR 8,491.00. Report unauthorized: 1800112211.",0,bank_normal
Alert from PNB: Your account 7121 is restricted. Update your KYC or card will be deactivated at http://pnb-pan-link.me.,1,bank_kyc
"Your Kotak Account XX2301 is debited by INR 890.00 at Zomato. Avl Bal: INR 76,947.00. Report unauthorized: 1800112211.",0,bank_normal
"Dear consumer, power supply will be cut off tonight at midnight for non-payment of electricity bill. Call electricity desk 9508587445 immediately.",1,utility
"Your HDFC Account XX8206 is debited by INR 1,250.00 at Ola. Avl Bal: INR 33,992.00. Report unauthorized: 1800112211.",0,bank_normal
Alert from ICICI: Your account 9560 is restricted. Update your KYC today immediately at http://icici-kyc-update.online.,1,bank_kyc
"Congratulations! Your mobile number won ₹50,00,000 in nationwide lucky draw! Call manager at 9343959576 to claim your prize.",1,lottery
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9989429647 immediately.",1,utility
"Google Pay: Pending refund of Rs 2,50,000 failed. Complete OTP verification at http://googlepay-refund.cc to credit money.",1,refund
Urgent notice from Cyber Cell: Legal case registered under your ID. Call investigation officer 9916064798 within 2 hours to avoid arrest.,1,police_threat
"IRCTC: PNR 101539152 confirmed. Coach S5, Berth 6. Please carry a valid original photo ID during travel.",0,travel
"Your Bank of Baroda Account XX3940 is debited by INR 45.00 at Zomato. Avl Bal: INR 82,798.00. Report unauthorized: 1800112211.",0,bank_normal
Have you booked the movie tickets for tonight?,0,chat
"IRCTC: PNR 890167156 confirmed. Coach A1, Berth 32. Please carry a valid original photo ID during travel.",0,travel
738103 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Congratulations! Your mobile number won Tata Harrier SUV in nationwide lucky draw! Call manager at 9487068897 to claim your prize.,1,lottery
"Paytm: Pending refund of Rs 2,50,000 failed. Complete OTP verification at http://paytm-refund.xyz to credit money.",1,refund
894203 is your secret one time password (OTP) for logging into Swiggy. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 767592429 confirmed. Coach B1, Berth 51. Please carry a valid original photo ID during travel.",0,travel
"Your Canara Bank Account XX3672 is debited by INR 890.00 at Blinkit. Avl Bal: INR 61,683.00. Report unauthorized: 1800112211.",0,bank_normal
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9129565896 to claim your prize.",1,lottery
"IRCTC: PNR 857942101 confirmed. Coach S4, Berth 4. Please carry a valid original photo ID during travel.",0,travel
"Google Pay: Pending refund of Rs 50,000 failed. Complete OTP verification at http://googlepay-refund.xyz to credit money.",1,refund
Your order #124354 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Congratulations! Your mobile number won 1 Crore in nationwide lucky draw! Call manager at 9764401699 to claim your prize.,1,lottery
"IRCTC: PNR 330627193 confirmed. Coach B3, Berth 54. Please carry a valid original photo ID during travel.",0,travel
"Congratulations! Your mobile number won ₹50,00,000 in nationwide lucky draw! Call manager at 9436967606 to claim your prize.",1,lottery
"Work from home daily! Earn ₹6,000 by rating movies and products online. No fee. Contact manager on WhatsApp 9903141208.",1,fake_job
260014 is your secret one time password (OTP) for logging into WhatsApp. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Blinkit: Order #BL8291 delivered successfully in 9 minutes. Hope you enjoyed the quick delivery!,0,delivery
Have you booked the movie tickets for tonight?,0,chat
"Congratulations! Your mobile number won ₹50,00,000 in nationwide lucky draw! Call manager at 9944553596 to claim your prize.",1,lottery
"Your Axis Bank Account XX2517 is debited by INR 890.00 at Ola. Avl Bal: INR 30,954.00. Report unauthorized: 1800112211.",0,bank_normal
Your order #329171 from Zomato has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
707539 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 270988822 confirmed. Coach B2, Berth 7. Please carry a valid original photo ID during travel.",0,travel
"Your HDFC Account XX2736 is debited by INR 45.00 at Zomato. Avl Bal: INR 63,008.00. Report unauthorized: 1800112211.",0,bank_normal
"IRCTC: PNR 972281691 confirmed. Coach S4, Berth 25. Please carry a valid original photo ID during travel.",0,travel
Your order #145520 from Zomato has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Your order #160561 from Zomato has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 325500719 confirmed. Coach S4, Berth 12. Please carry a valid original photo ID during travel.",0,travel
Alert from Canara Bank: Your account 2301 is restricted. Update your KYC within 24 hours at http://canarabank-reward-claim.top.,1,bank_kyc
"Google Pay: Pending refund of ₹4,999 failed. Complete OTP verification at http://googlepay-refund.click to credit money.",1,refund
"IRCTC: PNR 623468471 confirmed. Coach B3, Berth 70. Please carry a valid original photo ID during travel.",0,travel
BlueDart: Package delivery paused due to incomplete home address. Pay ₹10 redelivery fee at http://bluedart-reschedule.click,1,delivery
"Amazon Pay: Pending refund of ₹4,999 failed. Complete OTP verification at http://amazonpay-refund.pw to credit money.",1,refund
"IRCTC: PNR 2849102948 is Confirmed. Coach B2, Berth 35. Train 12952 departs at 17:00.",0,travel
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9617659381 immediately.",1,utility
"Mom called earlier, she asked if you can call her back when you get free.",0,chat
"IRCTC: PNR 200820133 confirmed. Coach S4, Berth 68. Please carry a valid original photo ID during travel.",0,travel
"Your Canara Bank Account XX9431 is debited by INR 2,499.00 at Zomato. Avl Bal: INR 29,714.00. Report unauthorized: 1800112211.",0,bank_normal
Your order #506547 from Myntra has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 658255893 confirmed. Coach B2, Berth 45. Please carry a valid original photo ID during travel.",0,travel
711882 is your secret one time password (OTP) for logging into Amazon. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Congratulations! Your mobile number won 1 Crore in nationwide lucky draw! Call manager at 9240341880 to claim your prize.,1,lottery
"IRCTC: PNR 684851251 confirmed. Coach S4, Berth 5. Please carry a valid original photo ID during travel.",0,travel
202780 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 146021853 confirmed. Coach A1, Berth 13. Please carry a valid original photo ID during travel.",0,travel
346331 is your secret one time password (OTP) for logging into Amazon. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Did you check out that new coffee shop down the street?,0,chat
Delhivery: Package delivery paused due to incomplete home address. Pay Rs 25 redelivery fee at http://delhivery-reschedule.cc,1,delivery
721839 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Your order #841204 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Your ICICI Account XX7103 is debited by INR 1,250.00 at Zepto. Avl Bal: INR 16,244.00. Report unauthorized: 1800112211.",0,bank_normal
"Your Canara Bank Account XX3784 is debited by INR 150.00 at Zomato. Avl Bal: INR 66,264.00. Report unauthorized: 1800112211.",0,bank_normal
"IRCTC: PNR 672132274 confirmed. Coach B1, Berth 3. Please carry a valid original photo ID during travel.",0,travel
Can you share the lecture notes from today's session?,0,chat
Your order #394957 from Ola has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Your order #880734 from Amazon has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Can you share the lecture notes from today's session?,0,chat
Can you share the lecture notes from today's session?,0,chat
"IRCTC: PNR 873849647 confirmed. Coach B2, Berth 30. Please carry a valid original photo ID during travel.",0,travel
Shoppers Stop Mega Win: You have been selected to win iPhone 16 Pro Max for just Rs 99 shipping fee! Claim before timer expires: http://claim-apple-gift.top,1,lottery
Your order #735861 from Zepto has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 456648755 confirmed. Coach B2, Berth 60. Please carry a valid original photo ID during travel.",0,travel
"Your PNB Account XX5300 is debited by INR 890.00 at Myntra. Avl Bal: INR 10,487.00. Report unauthorized: 1800112211.",0,bank_normal
Urgent notice from Telecom Authority: Legal case registered under your ID. Call investigation officer 9672045059 within 2 hours to avoid arrest.,1,police_threat
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9468551773 immediately.",1,utility
147779 is your secret one time password (OTP) for logging into WhatsApp. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Did you check out that new coffee shop down the street?,0,chat
"IRCTC: PNR 505455002 confirmed. Coach B3, Berth 26. Please carry a valid original photo ID during travel.",0,travel
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9328233509 to claim your prize.",1,lottery
"IRCTC: PNR 596522313 confirmed. Coach A1, Berth 19. Please carry a valid original photo ID during travel.",0,travel
Your order #838456 from Flipkart has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
See you in 15 minutes at the office cafeteria.,0,chat
Your order #147599 from Zepto has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Your Canara Bank Account XX6109 is debited by INR 890.00 at Ola. Avl Bal: INR 41,561.00. Report unauthorized: 1800112211.",0,bank_normal
456778 is your secret one time password (OTP) for logging into IRCTC. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Congratulations! Your mobile number won 1 Crore in nationwide lucky draw! Call manager at 9698552461 to claim your prize.,1,lottery
Your order #533917 from Swiggy has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Urgent notice from Cyber Cell: Legal case registered under your ID. Call investigation officer 9627468288 within 2 hours to avoid arrest.,1,police_threat
"Your SBI Account XX8018 is debited by INR 890.00 at Blinkit. Avl Bal: INR 11,057.00. Report unauthorized: 1800112211.",0,bank_normal
Have you booked the movie tickets for tonight?,0,chat
418457 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Alert from Bank of Baroda: Your account 1913 is restricted. Update your KYC or card will be deactivated at http://bankofbaroda-account-reactivate.site.,1,bank_kyc
"IRCTC: PNR 388201465 confirmed. Coach B2, Berth 46. Please carry a valid original photo ID during travel.",0,travel
Your order #929055 from Myntra has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Happy anniversary to you both! Have an amazing celebration.,0,chat
"Flipkart Lucky Winner: Spin & Win Rs 50,000 gift card! Click http://flipkart-spinwheel-lucky.xyz and enter your UPI PIN to claim reward.",1,lottery
882955 is your secret one time password (OTP) for logging into IRCTC. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Your PNB Account XX9817 is debited by INR 1,250.00 at Flipkart. Avl Bal: INR 55,830.00. Report unauthorized: 1800112211.",0,bank_normal
Alert from HDFC: Your account 1597 is restricted. Update your KYC today immediately at http://hdfc-netbank-login.info.,1,bank_kyc
Your order #370086 from Swiggy has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 230815265 confirmed. Coach B3, Berth 31. Please carry a valid original photo ID during travel.",0,travel
440459 is your secret one time password (OTP) for logging into Myntra. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Your Canara Bank Account XX5704 is debited by INR 150.00 at Uber. Avl Bal: INR 75,456.00. Report unauthorized: 1800112211.",0,bank_normal
Congratulations! Your mobile number won 1 Crore in nationwide lucky draw! Call manager at 9471666855 to claim your prize.,1,lottery
"Your HDFC Account XX2997 is debited by INR 1,250.00 at Myntra. Avl Bal: INR 61,574.00. Report unauthorized: 1800112211.",0,bank_normal
Happy anniversary to you both! Have an amazing celebration.,0,chat
"Work from home daily! Earn ₹2,500 by rating movies and products online. No fee. Contact manager on WhatsApp 9603774778.",1,fake_job
Netflix Account Suspended: Your subscription payment failed. Update billing information within 24 hours to keep streaming: http://netflix-billing-renew.xyz,1,refund
"Amazon Pay: Pending refund of ₹12,500 failed. Complete OTP verification at http://amazonpay-refund.info to credit money.",1,refund
Urgent notice from CBI Investigation: Legal case registered under your ID. Call investigation officer 9249730387 within 2 hours to avoid arrest.,1,police_threat
"Your HDFC Account XX8072 is debited by INR 2,499.00 at Blinkit. Avl Bal: INR 62,939.00. Report unauthorized: 1800112211.",0,bank_normal
742416 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Work from home daily! Earn ₹2,500 by rating movies and products online. No fee. Contact manager on WhatsApp 9558269790.",1,fake_job
286493 is your secret one time password (OTP) for logging into Zomato. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 965716200 confirmed. Coach B2, Berth 52. Please carry a valid original photo ID during travel.",0,travel
Alert from Bank of Baroda: Your account 7136 is restricted. Update your KYC today immediately at http://bankofbaroda-account-reactivate.cc.,1,bank_kyc
Google Pay: You received ₹500 from Rohit Sharma for 'Dinner bill split'.,0,payment_normal
986226 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Work from home daily! Earn ₹6,000 by rating movies and products online. No fee. Contact manager on WhatsApp 9635642809.",1,fake_job
Can you share the lecture notes from today's session?,0,chat
"IRCTC: PNR 101043423 confirmed. Coach S5, Berth 45. Please carry a valid original photo ID during travel.",0,travel
Urgent notice from Police Crime Branch: Legal case registered under your ID. Call investigation officer 9232120018 within 2 hours to avoid arrest.,1,police_threat
495032 is your secret one time password (OTP) for logging into IRCTC. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Urgent notice from Police Crime Branch: Legal case registered under your ID. Call investigation officer 9903869224 within 2 hours to avoid arrest.,1,police_threat
"Your ICICI Account XX7305 is debited by INR 2,499.00 at Zomato. Avl Bal: INR 13,252.00. Report unauthorized: 1800112211.",0,bank_normal
958690 is your secret one time password (OTP) for logging into WhatsApp. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
BlueDart: Package delivery paused due to incomplete home address. Pay Rs 35 redelivery fee at http://bluedart-reschedule.info,1,delivery
"IRCTC: PNR 115614614 confirmed. Coach S4, Berth 16. Please carry a valid original photo ID during travel.",0,travel
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9140739629 to claim your prize.",1,lottery
"Dear consumer, power supply will be cut off tonight at midnight for non-payment of electricity bill. Call electricity desk 9496641650 immediately.",1,utility
395135 is your secret one time password (OTP) for logging into Myntra. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 253085957 confirmed. Coach S5, Berth 32. Please carry a valid original photo ID during travel.",0,travel
Your order #723813 from Zomato has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
717737 is your secret one time password (OTP) for logging into Amazon. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Your order #450857 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Have you booked the movie tickets for tonight?,0,chat
Your order #612871 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Have you booked the movie tickets for tonight?,0,chat
Did you check out that new coffee shop down the street?,0,chat
Urgent notice from Police Crime Branch: Legal case registered under your ID. Call investigation officer 9213398568 within 2 hours to avoid arrest.,1,police_threat
"IRCTC: PNR 326429665 confirmed. Coach B2, Berth 25. Please carry a valid original photo ID during travel.",0,travel
Urgent notice from Telecom Authority: Legal case registered under your ID. Call investigation officer 9832999560 within 2 hours to avoid arrest.,1,police_threat
"Your ICICI Account XX1444 is debited by INR 45.00 at Myntra. Avl Bal: INR 79,191.00. Report unauthorized: 1800112211.",0,bank_normal
"Your Axis Bank Account XX8496 is debited by INR 1,250.00 at Zomato. Avl Bal: INR 6,502.00. Report unauthorized: 1800112211.",0,bank_normal
264340 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Paytm: Pending refund of Rs 15,000 failed. Complete OTP verification at http://paytm-refund.online to credit money.",1,refund
